athlete,country
Arturs DARZNIEKS,Latvia
Andriy MANDZIY,Ukraine
Nico GLEIRSCHER,Austria
Dominik FISCHNALLER,Italy
Anton DUKACH,Ukraine
David GLEIRSCHER,Austria
Marian SKUPEK,Slovakia
Felix LOCH,Germany
Kristers APARJODS,Latvia
Kevin FISCHNALLER,Italy
Reid WATTS,Canada
Svante KOHALA,Sweden
Alex FERLAZZO,Australia
Mateusz SOCHOWICZ,Poland
Wolfgang KINDL,Austria
Tucker WEST,United States of America
Michael LEJSEK,Czech Republic
Duoyao FAN,China
Namkyu LIM,Republic of Korea
Max LANGENHAN,Germany
Gints BERZINS,Latvia
Roman REPILOV,ROC
Chris MAZDZER,United States of America
Aleksandr GORBATCEVICH,ROC
Seiya KOBAYASHI,Japan
Pavel ANGELOV,Bulgaria
Semen PAVLICHENKO,ROC
Johannes LUDWIG,Germany
Mirza NIKOLAJEV,Bosnia and Herzegovina
Valentin CRETU,Romania
Aileen Christina FRISCH,Republic of Korea
Tove KOHALA,Sweden
Nina ZOEGGELER,Italy
Andrea VOETTER,Italy
Kendija APARJODE,Latvia
Doina DESCALUI,Republic of Moldova
Natalie MAAG,Switzerland
Yulianna TUNYTSKA,Ukraine
Julia Taubitz,Germany
Trinity ELLIS,Canada
Veronica Maria RAVENNA,Argentina
Eliza TIRUMA,Latvia
Hannah PROCK,Austria
Victoria DEMCHENKO,ROC
Elsa DESMOND,Ireland
Natalie CORLESS,Canada
Olena STETSKIV,Ukraine
Raluca STRAMATURARU,Romania
Klaudia DOMARADZKA,Poland
Peixuan WANG,China
Madeleine EGLE,Austria
Emily SWEENEY,United States of America
Ashley FARQUHARSON,United States of America
Elina VITOLA,Latvia
Natalie GEISENBERGER,Germany
Makena HODGSON,Canada
Katarina SIMONAKOVA,Slovakia
Ekaterina KATNIKOVA,ROC
Sin-Rong LIN,Chinese Taipei
Lisa SCHULTE,Austria
Tatyana IVANOVA,ROC
Anna BERREITER,Germany
Summer BRITCHER,United States of America
Verena HOFER,Italy
Anna CEZIKOVA,Czech Republic
Mikita LABASTAU,Belarus
Emilien JACQUELIN,France
Fabien CLAUDE,France
Tero SEPPALA,Finland
Olli HIIDENSALO,Finland
Rene ZAHKNA,Estonia
Alexander LOGINOV,ROC
Thomas BORMOLINI,Italy
Felix LEITNER,Austria
Sturla Holm LAEGREID,Norway
Blagoy TODEV,Bulgaria
Eduard LATYPOV,ROC
Anton SMOLSKI,Belarus
Tsukasa KOBONOKI,Japan
Tarjei BOE,Norway
Artem PRYMA,Ukraine
Mikulas KARLIK,Czech Republic
Philipp NAWRATH,Germany
Xingyuan YAN,China
Raido RAENKEL,Estonia
Adam RUNNALLS,Canada
Kosuke OZAKI,Japan
Sebastian SAMUELSSON,Sweden
Sean DOHERTY,United States of America
Scott GOW,Canada
Fangming CHENG,China
Johannes KUEHN,Germany
Vladimir ILIEV,Bulgaria
Grzegorz GUZIK,Poland
Simon EDER,Austria
Jakov FAK,Slovenia
Dmytro PIDRUCHNYI,Ukraine
Roman REES,Germany
Heikki LAITINEN,Finland
Sebastian STALDER,Switzerland
Joscha BURKHALTER,Switzerland
Lovro PLANKO,Slovenia
Dominik WINDISCH,Italy
Simon DESTHIEUX,France
Martin PONSILUOMA,Sweden
Benjamin WEGER,Switzerland
Niklas HARTWEG,Switzerland
Quentin FILLON MAILLET,France
Jake BROWN,United States of America
Jules BURNOTTE,Canada
Anton DUDCHENKO,Ukraine
Anton SINAPOV,Bulgaria
Lukas HOFER,Italy
Christian GOW,Canada
Benedikt DOLL,Germany
Vytautas STROLIA,Lithuania
Alexandr MUKHIN,Kazakhstan
Maxim TSVETKOV,ROC
Jesper NELIN,Sweden
Jakub STVRTECKY,Czech Republic
Adam VACLAVIK,Czech Republic
Daniil SEROKHVOSTOV,ROC
Vetle Sjaastad CHRISTIANSEN,Norway
Michal KRCMAR,Czech Republic
Johannes Thingnes BOE,Norway
Paulina FIALKOVA,Slovakia
Denise HERRMANN,Germany
Hanna OEBERG,Sweden
Monika HOJNISZ,Poland
Vanessa HINZ,Germany
Kristina REZTSOVA,ROC
Yuliia DZHIMA,Ukraine
Irina KAZAKEVICH,ROC
Elvira OEBERG,Sweden
Lucie CHARVATOVA,Czech Republic
Julia SIMON,France
Anais BESCOND,France
Dzinara ALIMBEKAVA,Belarus
Lena HAECKI,Switzerland
Alina STREMOUS,Republic of Moldova
Justine BRAISAZ,France
Uliana NIGMATULLINA,ROC
Marte Olsbu ROEISELAND,Norway
Mona BRORSSON,Sweden
Deedra IRWIN,United States of America
Anais CHEVALIER,France
Linn PERSSON,Sweden
Franziska PREUSS,Germany
Lisa Theresa HAUSER,Austria
Marketa DAVIDOVA,Czech Republic
Vanessa VOIGT,Germany
Dorothea WIERER,Italy
Hanna SOLA,Belarus
Tiril ECKHOFF,Norway
Katharina INNERHOFER,Austria
Clare EGAN,United States of America
Ida LIEN,Norway
Milena TODOROVA,Bulgaria
Jessica JISLOVA,Czech Republic
Joanne FIRESTEEL REID,United States of America
Amy BASERGA,Switzerland
Jialin TANG,China
Mari EDER,Finland
Regina OJA,Estonia
Iryna LESHCHANKA,Belarus
Samuela COMOLA,Italy
Julia SCHWAIGER,Austria
Susan DUNKLEE,United States of America
Emma LUNDER,Canada
Susan KUELM,Estonia
Baiba BENDIKA,Latvia
Galina VISHNEVSKAYA,Kazakhstan
Iryna PETRENKO,Ukraine
Kamila ZUK,Poland
Lisa VITTOZZI,Italy
Fuyuko TACHIZAKI,Japan
Johanna TALIHAERM,Estonia
Tereza VOBORNIKOVA,Czech Republic
Svetlana MIRONOVA,ROC
Polona KLEMENCIC,Slovenia
Suvi MINKKINEN,Finland
Anna MAGNUSSON,Sweden
Ekaterina AVVAKUMOVA,Republic of Korea
Ivona FIALKOVA,Slovakia
Tuuli TOMINGAS,Estonia
Anastasiya MERKUSHYNA,Ukraine
Ingrid Landmark TANDREVOLD,Norway
Tomas SKLENARIK,Slovakia
Tomas KAUKENAS,Lithuania
George COLTEA,Romania
Paul SCHOMMER,United States of America
Peppe FEMLING,Sweden
Matej BALOGA,Slovakia
Bogdan TSYMBAL,Ukraine
Dimitar GERDZHIKOV,Bulgaria
Cesar BEAUVAIS,Belgium
Simon BARTKO,Slovakia
Linas BANYS,Lithuania
Michal SIMA,Slovakia
Vladislav KIREYEV,Kazakhstan
Maksim MAKAROV,Republic of Moldova
Tuomas HARJULA,Finland
Kalev ERMITS,Estonia
Patrick JAKOB,Austria
Kristo SIIMER,Estonia
Rok TRSAN,Slovenia
Dzmitry LAZOUSKI,Belarus
Pavel MAGAZEEV,Republic of Moldova
Florent CLAUDE,Belgium
Leif NORDGREN,United States of America
David KOMATZ,Austria
Thierry LANGER,Belgium
Miha DOVZAN,Slovenia
Karol DOMBROVSKI,Lithuania
Campbell WRIGHT,New Zealand
Tommaso GIACOMEL,Italy
Zhenyu ZHU,China
Chunyu ZHANG,China
Maksim VARABEI,Belarus
Timofei LAPSHIN,Republic of Korea
Tom LAHAYE-GOFFART,Belgium
Yuanmeng CHU,China
Dunja ZDOUC,Austria
Federica SANFILIPPO,Italy
Daniela KADEVA,Bulgaria
Erika JANKA,Finland
Henrieta HORVATOVA,Slovakia
Elena KRUCHYNKINA,Belarus
Megan BANKES,Canada
Ziva KLEMENCIC,Slovenia
Ukaleq Astri SLETTEMARK,Denmark
Veronika MACHYNIAKOVA,Slovakia
Maria ZDRAVKOVA,Bulgaria
Nastassia KINNUNEN,Finland
Gabriele LESCINSKAITE,Lithuania
Emily DICKSON,Canada
Sarah BEAUDRY,Canada
Sari MAEDA,Japan
Yurie TANAKA,Japan
Kinga ZBYLUT,Poland
Seonsu KIM,Republic of Korea
Asuka HACHISUKA,Japan
Yuhuan DING,China
Natalia USHKINA,Romania
Anna MAKA,Poland
Fanqi MENG,China
Alla GHILENKO,Republic of Moldova
Lora HRISTOVA,Bulgaria
Lotte LIE,Belgium
Harald LEMMERER,Austria
Erik LESSER,Germany
Said Karimulla KHALILI,ROC
Milan ZEMLICKA,Czech Republic
Didier BIONAZ,Italy
Selina GASPARIN,Switzerland
Evgeniya BURTASOVA,ROC
Darya BLASHKO,Ukraine
Anna JUPPE,Austria
Valj SEMERENKO,Ukraine
Michela CARRARA,Italy
Emilie Aagheim KALKENBERG,Norway
William C. FLAHERTY,Puerto Rico
Atle Lie MCGRATH,Norway
Louis MUHLEN-SCHULTE,Australia
Giuliano RAZZOLI,Italy
Sebastian FOSS-SOLEVAAG,Norway
Donghyun JUNG,Republic of Korea
Emir LOKMIC,Bosnia and Herzegovina
Samuel KOLEGA,Croatia
Maksim GORDEEV,Kyrgyzstan
Michel MACEDO,Brazil
Julian RAUCHFUSS,Germany
Michal JASICZEK,Poland
Andreas ZAMPA,Slovakia
Alexandru Stefan STEFANESCU ,Romania
Loic MEILLARD,Switzerland
Michael POETTOZ,Colombia
Mingfu XU,China
Adam ZAMPA,Slovakia
Soso JAPHARIDZE,Georgia
Krystof KRYZL,Czech Republic
Arif Mohd KHAN,India
Matej VIDOVIC,Croatia
Yohei KOYAMA,Japan
Luca AERNI,Switzerland
Miks Edgars ZVEJNIEKS,Latvia
Ricardo BRANCAL,Portugal
Matteo GATTI,San Marino
Joaquim SALARICH,Spain
Asa MILLER,Philippines
Aleksander ANDRIENKO,ROC
Tormis LAINE,Estonia
Linus STRASSER,Germany
Cesar ARNOUK,Lebanon
Komiljon TUKHTAEV,Uzbekistan
Denni XHEPA,Albania
Casper DYRBYE NAESTED,Denmark
Hau Tsuen Adrian YUNG,Hong Kong
Luke WINTERS,United States of America
Manuel FELLER,Austria
Ivan KOVBASNYUK,Ukraine
Eldar SALIHOVIC,Montenegro
Ioannis ANTONIOU,Greece
Albin TAHIRI,Kosovo
Matthieu OSCH,Luxembourg
Michael MATT,Austria
Albert POPOV,Bulgaria
Clement NOEL,France
Mathieu NEUMULLER,Madagascar
Andrej DRUKAROV,Lithuania
Alexander SCHMID,Germany
Zakhar KUCHIN,Kazakhstan
Henrik KRISTOFFERSEN,Norway
Kamen ZLATKOV,Bulgaria
Yianno KOUYOUMDJIAN,Cyprus
Jeffrey WEBB,Malaysia
Richardson VIANO,Haiti
Alex VINATZER,Italy
Jan ZABYSTRAN,Czech Republic
Nicola ZANON,Thailand
Marton KEKESI,Hungary
Dries VAN DEN BROECKE,Belgium
Alexander KHOROSHILOV,ROC
Berkin USTA,Turkey
Trevor PHILP,Canada
Daniel YULE,Switzerland
Johannes STROLZ,Austria
Marco SCHWARZ,Austria
Kristoffer JAKOBSEN,Sweden
Yangming ZHANG,China
Muhammad KARIM,Pakistan
Pawel PYJAS,Poland
Dave RYDING,Great Britain
Filip ZUBCIC,Croatia
Erik READ,Canada
Lucas BRAATHEN,Norway
Armand MARCHANT,Belgium
Tommaso SALA,Italy
Ivan KUZNETSOV,ROC
Yohan Goncalves GOUTT,Democratic Republic of Timor-Leste
Barnabas SZOLLOS,Israel
Tomas BIRKNER DE MIGUEL,Argentina
Sam MAES,Belgium
Alexis PINTURAULT,France
Sturla Snaer SNORRASON,Iceland
Ping-Jui HO,Chinese Taipei
Billy MAJOR,Great Britain
Ramon ZENHAEUSERN,Switzerland
Zan KRANJEC,Slovenia
Vincent KRIECHMAYR,Austria
Travis GANONG,United States of America
Henrik VON APPEN,Chile
Ryan COCHRAN-SIEGLE,United States of America
Beat FEUZ,Switzerland
Christof INNERHOFER,Italy
Arnaud ALESSANDRIA,Monaco
Aleksander Aamodt KILDE,Norway
Matthias MAYER,Austria
Broderick THOMPSON,Canada
Nejc NARALOCNIK,Slovenia
Jack GOWER,Ireland
Andreas SANDER,Germany
Brodie SEGER,Canada
Marko VUKICEVIC,Serbia
Maxence MUZATON,France
Bostjan KLINE,Slovenia
Blaise GIEZENDANNER,France
Matteo MARSAGLIA,Italy
Daniel HEMETSBERGER,Austria
Miha HROBAT,Slovenia
James CRAWFORD,Canada
Max FRANZ,Austria
Stefan ROGENTIN,Switzerland
Josef FERSTL,Germany
Niels HINTERMANN,Switzerland
Marco PFIFFNER,Liechtenstein
Bryce BENNETT,United States of America
Dominik SCHWAIGER,Germany
Adur ETXEZARRETA,Spain
Simon BREITFUSS KAMMERLANDER,Bolivia
Dominik PARIS,Italy
Matthieu BAILET,France
Adrian Smiseth SEJERSTED,Norway
Marco ODERMATT,Switzerland
Johan CLAREY,France
Romed BAUMANN,Germany
Kjetil JANSRUD,Norway
Keely CASHMAN,United States of America
Francesca BARUZZI FARRIOL,Argentina
Francesca MARSAGLIA,Italy
Elvedina MUZAFERIJA,Bosnia and Herzegovina
Holmfridur Dora FRIDGEIRSDOTTIR,Iceland
Cande MORENO BECERRA,Andorra
Maryna GASIENICA-DANIEL,Poland
Noa SZOLLOS,Israel
Corinne SUTER,Switzerland
Laura GAUCHE,France
Cornelia HUETTER,Austria
Rebeka JANCOVA,Slovakia
Sarah SCHLEPER,Mexico
Lara GUT - BEHRAMI,Switzerland
Fanying KONG,China
Tereza NOVA,Czech Republic
Tessa WORLEY,France
Yueming NI,China
Alix WILKINSON,United States of America
Elena CURTONI,Italy
Greta SMALL,Australia
Tamara TIPPLER,Austria
Anastasiya SHEPILENKO,Ukraine
Ariane RAEDLER,Austria
Isabella WRIGHT,United States of America
Mirjam PUCHNER,Austria
Marie-Michele GAGNON,Canada
Julia PLESHKOVA,ROC
Barbora NOVAKOVA,Czech Republic
Roni REMME,Canada
Romane MIRADOLI,France
Michelle GISIN,Switzerland
Petra HROMCOVA,Slovakia
Marta BASSINO,Italy
Tess ARBEZ,Ireland
Marusa FERK,Slovenia
Federica BRIGNONE,Italy
Alice ROBINSON,New Zealand
Kira WEIDLE,Germany
Tiffany GAUTHIER,France
Ragnhild MOWINCKEL,Norway
Jasmine FLURY,Switzerland
Mikaela SHIFFRIN,United States of America
Simon JOCHER,Germany
Raphael HAASER,Austria
Nils ALLEGRE,France
Rasmus WINDINGSTAD,Norway
Joan VERDU,Andorra
Gino CAVIEZEL,Switzerland
River RADAMUS,United States of America
Nadia DELAGO,Italy
Nicol DELAGO,Italy
Nevena IGNJATOVIC,Serbia
Sofia GOGGIA,Italy
Camille CERUTTI,France
Jacqueline WILES,United States of America
Joana HAEHLEN,Switzerland
Ilka STUHEC,Slovenia
Ramona SIEBENHOFER,Austria
Justin MURISIER,Switzerland
Yannick CHABLOZ,Switzerland
Luca DE ALIPRANDINI,Italy
Harutyun HARUTYUNYAN,Armenia
Maarten MEINERS,Netherlands
Yassine AOUICH,Morocco
Tommy FORD,United States of America
Stefan BRENNSTEINER,Austria
Mattias ROENNGREN,Sweden
Cyprien SARRAZIN,France
Thibaut FAVROT,France
Carlos MAEDER,Ghana
Benjamin ALEXANDER,Jamaica
Samu TORSTI,Finland
Shannon ABEDA,Eritrea
Mathieu FAIVRE,France
Rodolfo Roberto DICKSON SOMMERS,Mexico
Fayik ABDI,Saudi Arabia
Elese SOMMEROVA,Czech Republic
Stephanie BRUNNER,Austria
Zita TOTH,Hungary
Manon OUAISS,Lebanon
Hilma LOEVBLOM,Sweden
Alex TILLEY,Great Britain
Paula MOLTZAN,United States of America
Ana BUCIK,Slovenia
Emilia ARAMBURO,Chile
Gwyneth TEN RAA,Luxembourg
Nina O BRIEN,United States of America
Cassidy GRAY,Canada
Thea Louise STJERNESUND,Norway
Hanna ZIEBA,Poland
Adriana JELINKOVA,Netherlands
Riikka HONKANEN,Finland
Aruwin SALEHHUDDIN,Malaysia
Mina Fuerst HOLTMANN,Norway
Asa ANDO,Japan
Eva VUKADINOVA,Bulgaria
Nino TSIKLAURI,Georgia
Petra VLHOVA,Slovakia
Vanina GUERILLOT,Portugal
Youngseo KANG,Republic of Korea
Ornella OETTL REYES,Peru
Tina ROBNIK,Slovenia
Emma AICHER,Germany
Sakurako MUKOGAWA,Japan
Jelena VUJICIC,Montenegro
Valerie GRENIER,Canada
Mida Fah JAIMAN,Thailand
Mialitiana CLERC,Madagascar
Sohui GIM,Republic of Korea
Katharina TRUPPE,Austria
Wendy HOLDENER,Switzerland
Anna TORSANI,San Marino
Ozlem CARIKCIOGLU,Turkey
A J HURT,United States of America
Andreja SLOKAR,Slovenia
Maria-Eleni TSIOVOLOU,Greece
Camille RAST,Switzerland
Maria Ioana CONSTANTIN,Romania
Clara DIREZ,France
Coralie FRASSE SOMBET,France
Kaitlyn VESTERSTEIN,Estonia
Andrea KOMSIC,Croatia
Polina MELNIKOVA,ROC
Esma ALIC,Bosnia and Herzegovina
Sara HECTOR,Sweden
Nuria PAU,Spain
Zuzanna CZAPSKA,Poland
Maria Therese TVIBERG,Norway
Magdalena LUCZAK,Poland
Zrinka LJUTIC,Croatia
Ekaterina TKACHENKO,ROC
Katharina LIENSBERGER,Austria
Erika PYKALAINEN,Finland
Sarah ESCOBAR,Ecuador
Meta HROVAT,Slovenia
Hanna ARONSSON ELFMAN,Sweden
Kiana KRYEZIU,Kosovo
Priska NUFER,Switzerland
Katharina HUBER,Austria
Patricia MANGAN,United States of America
Christine SCHEYER,Austria
Lara DELLA MEA,Italy
Amelia SMART,Canada
Anastasia GORNOSTAEVA,ROC
Anna SWENN LARSSON,Sweden
Leona POPOVIC,Croatia
Erin MIELZYNSKI,Canada
Laurence ST-GERMAIN,Canada
Rosa POHJOLAINEN,Finland
Martina DUBOVSKA,Czech Republic
Charlotta SAEFVENBERG,Sweden
Katharina GALLHUBER,Austria
Lena DUERR,Germany
Elsa FERMBAECK,Sweden
Nastasia NOENS,France
Maria SHKANOVA,Belarus
Audrey Alice KING,Hong Kong
Anita GULLI,Italy
Atefeh AHMADI,Islamic Republic of Iran
Katie HENSIEN,United States of America
Gabriela CAPOVA,Czech Republic
Charlie GUEST,Great Britain
Wen-Yi LEE,Chinese Taipei
Kathryn PARKER,Australia
Ali NULLMEYER,Canada
Gabija SINKUNAITE,Lithuania
Aline DANIOTH,Switzerland
Neja DVORNIK,Slovenia
Alexandra TROITSKAYA,Kazakhstan
Liene BONDARE,Latvia
Katie TANNENBAUM,"Virgin Islands, US"
Yulia KANAKINA,ROC
Dan ZHAO,China
Nicole Rocha SILVEIRA,Brazil
Jane CHANNELL,Canada
Elena NIKITINA,ROC
Alina TARARYCHENKOVA,ROC
Kim MEYLEMANS,Belgium
Kimberley BOS,Netherlands
Katie UHLAENDER,United States of America
Laura DEAS,Great Britain
Eunji KIM,Republic of Korea
Endija TERAUDA,Latvia
Janine FLOCK,Austria
Mirela RAHNEVA,Canada
Hannah NEISE,Germany
Tina HERMANN,Germany
Jackie NARRACOTT,Australia
Kelly CURTIS,United States of America
Jacqueline LOELLING,Germany
Yuxi LI,China
Brogan CROWLEY,Great Britain
Anna FERNSTAEDT,Czech Republic
Kellie DELKA,Puerto Rico
Valentina MARGAGLIO,Italy
Andrew BLASER,United States of America
Tomass DUKURS,Latvia
Nathan Ikon CRUMPTON,American Samoa
Samuel MAIER,Austria
Alexander TRETIAKOV,ROC
Ander MIRAMBELL,Spain
Mattia GASPARI,Italy
Nicholas TIMMINGS,Australia
Alexander GASSNER,Germany
Wengang YAN,China
Matt WESTON,Great Britain
Basil SIEBER,Switzerland
Sungbin YUN,Republic of Korea
Zheng YIN,China
Evgenii RUKOSUEV,ROC
Alexander SCHLINTNER,Austria
Amedeo BAGNIS,Italy
Blake ENZIE,Canada
Christopher GROTHEER,Germany
Vladyslav HERASKEVYCH,Ukraine
Martins DUKURS,Latvia
Daniil ROMANOV,ROC
Axel JUNGK,Germany
Marcus WYATT,Great Britain
Seunggi JUNG,Republic of Korea
Irina BYKOVA,Kazakhstan
Pia FINK,Germany
Dinigeer YILAMUJIANG,China
Valentyna KAMINSKA,Ukraine
Hristina MATSOKINA,ROC
Veronika STEPANOVA,ROC
Viktoriia OLEKH,Ukraine
Anna DYVIK,Sweden
Eva UREVC,Slovenia
Yulia STUPAK,ROC
Kaidy KAASIKU,Estonia
Eui Jin LEE,Republic of Korea
Greta LAURENT,Italy
Tereza BERANOVA,Czech Republic
Petra HYNCICOVA,Czech Republic
Maja DAHLQVIST,Sweden
Anamarija LAMPIC,Slovenia
Jaqueline MOURAO,Brazil
Tiril Udnes WENG,Norway
Katya GALSTYAN,Armenia
Qinghua MA,China
Dasom HAN,Republic of Korea
Ieva DAINYTE,Lithuania
Vedrana MALEC,Croatia
Nefeli TITA,Greece
Bayani JIALIN,China
Emma RIBOM,Sweden
Casey WRIGHT,Australia
Angelina SHURYGA,Kazakhstan
Nadezhda STEPASHKINA,Kazakhstan
Laurien VAN DER GRAAFF,Switzerland
Nadine FAEHNDRICH,Switzerland
Maiken Caspersen FALLA,Norway
Dahria BEATTY,Canada
Monika SKINDER,Poland
Maryna ANTSYBOR,Ukraine
Mathilde MYHRVOLD,Norway
Coletta RYDZEK,Germany
Cristina PITTIN,Italy
Katerina JANATOVA,Czech Republic
Jasmi JOENSUU,Finland
Kristina SIVOKOVA,Slovakia
Jasmin KAHARA,Finland
Jessica DIGGINS,United States of America
Egle SAVICKAITE,Lithuania
Tena HADZIC,Croatia
Laura LECLAIR,Canada
Alina MEIER,Switzerland
Mariel Merlii PULLES,Estonia
Natalia NEPRYAEVA,ROC
Zuzana HOLIKOVA,Czech Republic
Kristrun GUDNADOTTIR,Iceland
Anita KLEMENCIC,Slovenia
Lisa UNTERWEGER,Austria
Izabela MARCISZ,Poland
Anja WEBER,Switzerland
Cendrine BROWNE,Canada
Sofie KREHL,Germany
Patricija EIDUKA,Latvia
Kitija AUZINA,Latvia
Jessica YEATON,Australia
Kseniya SHALYGINA,Kazakhstan
Timea LORINCZ,Romania
Alena PROCHAZKOVA,Slovakia
Chaewon LEE,Republic of Korea
Aysenur DUMAN,Turkey
Rosie BRENNAN,United States of America
Jonna SUNDLING,Sweden
Maria NTANOU,Greece
Eduarda RIBERA,Brazil
Estere VOLFA,Latvia
Karen CHANLOUNG,Thailand
Sanja KUSMUK,Bosnia and Herzegovina
Samanta KRAMPE,Latvia
Julia KERN,United States of America
Victoria CARL,Germany
Olivia BOUFFARD-NESBITT,Canada
Lena QUINTIN,France
Enkhtuul ARIUNSANAA,Mongolia
Anja MANDELJC,Slovenia
Chunxue CHI,China
Barbora KLEMENTOVA,Slovakia
Hannah HALVORSEN,United States of America
Lucia SCARDONI,Italy
Lotta Udnes WENG,Norway
Nahiara DIAZ GONZALEZ,Argentina
Keidy KAASIKU,Estonia
Caterina GANZ,Italy
Weronika KALETA,Poland
Aveli UUSTALU,Estonia
Katri LYLYNPERA,Finland
Kerttu NISKANEN,Finland
Krista PARMAKOSKI,Finland
Teresa STADLOBER,Austria
Melissa GAL,France
Xin LI,China
Katherine STEWART JONES,Canada
Yuliia KROL,Ukraine
Ozlem Ceren DURSUN,Turkey
Anastasia KIRILLOVA,Belarus
Hanna KARALIOVA,Belarus
Erik VALNES,Norway
Johannes Hoesflot KLAEBO,Norway
Iivo NISKANEN,Finland
Joni MAEKI,Finland
Alexander BOLSHUNOV,ROC
Alexander TERENTEV,ROC
William POROMAA,Sweden
Oskar SVENSSON,Sweden
Antoine CYR,Canada
Graham RITCHIE,Canada
Francesco DE FABIANI,Italy
Federico PELLEGRINO,Italy
Hugo LAPALUS,France
Richard JOUVE,France
Jonas BAUMANN,Switzerland
Jovian HEDIGER,Switzerland
Ben OGDEN,United States of America
James Clinton SCHOONMAKER,United States of America
Michael FOETTINGER,Austria
Benjamin MOSER,Austria
Henri ROOS,Estonia
Martin HIMMA,Estonia
Aliaksandr VORANAU,Belarus
Yahor SHPUNTAU,Belarus
Qiang WANG,China
Jincai SHANG,China
Ludek SELLER,Czech Republic
Michal NOVAK,Czech Republic
Maciej STAREGA,Poland
Kamil BURY,Poland
Vili CRV,Slovenia
Miha SIMENC,Slovenia
Oleksii KRASOVSKYI,Ukraine
Ruslan PEREKHODA,Ukraine
Paul Constantin PEPENE,Romania
Raul Mihai POPA,Romania
Snorri Eythor EINARSSON,Iceland
Isak Stianson PEDERSEN,Iceland
James CLUGNET,Great Britain
Andrew YOUNG,Great Britain
Raimo VIGANTS ,Latvia
Roberts SLOTINS,Latvia
Phillip BELLINGHAM,Australia
Seve DE CAMPO,Australia
Albert KUCHLER,Germany
Janosch BRUGGER,Germany
Modestas VAICIULIS,Lithuania
Tautvydas STROLIA,Lithuania
Minwoo KIM,Republic of Korea
Jongwon JEONG,Republic of Korea
Artem MALTSEV,ROC
Hadesi BADELIHAN,China
Perttu HYVARINEN,Finland
Naoto BABA,Japan
Yevgeniy VELICHKO,Kazakhstan
Jonas DOBLER,Germany
Jens BURMAN,Sweden
Remi LINDHOLM,Finland
Mark CHANLOUNG,Thailand
Thibaut DE MARRE ,Belgium
Florian NOTZ,Germany
Jan KORISTEK,Slovakia
Scott PATTERSON,United States of America
Paal GOLBERG,Norway
Vitaliy PUKHKALO,Kazakhstan
Imanol ROJO,Spain
Alvar Johannes ALEV,Estonia
Andrew MUSGRAVE,Great Britain
Calle HALFVARSSON,Sweden
Sjur ROETHE,Norway
Ryo HIROSE,Japan
Alexey CHERVOTKIN,ROC
Haruki YAMASHITA,Japan
Degen CHEN,China
Olivier LEVEILLE,Canada
Friedrich MOCH,Germany
Jules LAPIERRE,France
Dominik BURY,Poland
Manex SILVA,Brazil
Remi DROLET,Canada
Candide PRALONG,Switzerland
Lucas BOEGL,Germany
Leo JOHANSSON,Sweden
Petr KNOP,Czech Republic
Mikayel MIKAYELYAN,Armenia
Rongsheng LIU,China
Gus SCHUMACHER,United States of America
Hans Christer HOLUND,Norway
Mika VERMEULEN,Austria
Clement PARISSE,France
Maurice MANIFICAT,France
Paolo VENTURA,Italy
Miha LICEF,Slovenia
Adam FELLNER,Czech Republic
Jason RUEESCH,Switzerland
Mateusz HARATYK,Poland
Thomas MALONEY WESTGAARD,Ireland
Franco DAL FARRA,Argentina
Giandomenico SALVADORI,Italy
Denis SPITSOV,ROC
Irineu ESTEVE ALTIMIRAS,Andorra
Carola VILA OBIOLS,Andorra
Neza ZERJAV,Slovenia
Anna COMARELLA,Italy
Therese JOHAUG,Norway
Tatiana SORINA,ROC
Magdalena KOBIELUSZ,Poland
Helene Marie FOSSESHOLM,Norway
Johanna MATINTALO,Finland
Moa OLSSON,Sweden
Delphine CLAUDEL,France
Masako ISHIDA,Japan
Ebba ANDERSSON,Sweden
Ragnhild HAGA,Norway
Katharina HENNIG,Germany
Miki KODAMA,Japan
Nina RIEDENER,Liechtenstein
Daria RUBLOVA,Ukraine
Lydia HIERNICKEL,Switzerland
Coralie BENTZ,France
Petra NOVAKOVA,Czech Republic
Anne KYLLOENEN,Finland
Katherine SAUERBREY,Germany
Hailey SWIRBUL,United States of America
Martina DI CENTA,Italy
Valeriya TYULENEVA,Kazakhstan
Nadja KAELIN,Switzerland
Chika KOBAYASHI,Japan
Masae TSUCHIYA,Japan
Frida KARLSSON,Sweden
Anastasia RYGALINA,ROC
Charlotte KALLA,Sweden
Antonia FRAEBEL,Germany
Flora DOLCI,France
Mariya ISTOMINA,ROC
Novie MCCABE,United States of America
Sophia LAUKLI,United States of America
Karolina KUKUCZKA,Poland
Angelina MURADYAN,Armenia
Ana CVETANOVSKA,North Macedonia
Laura GIMMLER,Germany
Sara PONYA,Hungary
Lilia VASILEVA,ROC
Strahinja ERIC,Bosnia and Herzegovina
Marko SKENDER,Croatia
Dario COLOGNA,Switzerland
Stavre JADA,North Macedonia
Roman FURGER,Switzerland
Simen Hegstad KRUEGER,Norway
Adrien BACKSCHEIDER,France
Ivan YAKIMUSHKIN,ROC
Apostolos ANGELIS,Greece
Adam KONYA,Hungary
Carlos Andres QUINTANA,Colombia
Achbadrakh BATMUNKH,Mongolia
Johan HAEGGSTROEM,Sweden
Hugo HINCKFUSS,Australia
Danyal SAVEH SHEMSHAKI,Islamic Republic of Iran
Maicol RASTELLI,Italy
