athlete,country
Emanuel RIEDER,Italy
Simon KAINZWALDNER,Italy
Tristan WALKER,Canada
Justin SNITH,Canada
Aleksandr DENISEV,ROC
Vladislav ANTONOV,ROC
Wojciech CHMIELEWSKI,Poland
Jakub KOWALEWSKI,Poland
Andrei BOGDANOV,ROC
Iurii PROKHOROV,ROC
Zachary DI GREGORIO,United States of America
Sean HOLLANDER,United States of America
Jinyong PARK,Republic of Korea
Jung Myung CHO,Republic of Korea
Tomas VAVERCAK,Slovakia
Matej ZMIJ,Slovakia
Marian GITLAN,Romania
Darius Lucian SERBAN,Romania
Ihor STAKHIV,Ukraine
Andrii LYSETSKYI,Ukraine
Filip VEJDELEK,Czech Republic
Zdenek PEKNY,Czech Republic
Yebo HUANG,China
Junyue PENG,China
Jonathan GUSTAFSON,United States of America
Rupert STAUDINGER,Great Britain
Jozef NINIS,Slovakia
Saba KUMARITASHVILI,Georgia
Leon FELDERER,Italy
